year-month	102-2621-b-492-001-	104ktcoralreefs	2015-nnplant_fish	2017npgis	a10200602	a10200616	a10200619	amf	ardisia	bbstaiwan_dataset	biosurvey	bird	bird_survey_of_budai_salt_pan_in_taiwain	bottom_trawl	burundi_vegetable_germplasm_collection	cyanidia	deep-sea-fishes	deposit_of_patent_bio-material_in_bcrc	e10007001_3_66	e1001a040	e10100001_4_10	e1021a008	e1021a020	e10500020	eeft	esri	example_fishdb	fish	forest_resource	forest_resource-4	fri	gueishan_island	hast	investigations_current_status	khbiodiv_2015	koef_whale_dolphin_observation	lampriformes_systematic	ltccc_bfsa	manager_17_15	manager_3_20	manager_41_17	mlsp	mosses-fissidens-taiwan	moth_survey	national_park	national_parts_taiwan-2016	nmmba	nmmb_db	nmmst_db	nmns	np2014	npgis_2015	nthu_db	ntm	ntou_db	ntu	nvdimp	occurence_scyllaserrata	pandalidae-tychan-most	permanent_plot	pgl_scyllaolivacea	pgl_scyllatranquebarica	philippine_birds	phil_amphibians	plantae_db	plant_collection	r10005801_40_27	r10007802_13_77	r10008801	r10100217_3_29	r10105001	r10105001_35_8	r10106034_3_28	r1011a009_3_41	r10204013	r10204014	r10405002	r10408008	shyen	spgrc_germplasm_collection	tad_db	tai	taibnet_coa_wildlife_consev	taibnet_com_all	taibnet_endemic	taibnet_iucn	taif	tamsui_estuary	tari_db	tesrimothspecimen	tesri_fb	the_survey_data_of_benthic_diatoms_in_anping_historical_waterview_park	twmoth-fb	tw_roadkill_data	tw_tfri_alien_plant_survey	worldveg_seedkit_distribution_east_africa	zenlun
201805	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	0	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	0	72963	4341	11	7637	0	9136	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	0	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	399023	951	4831	0	18591	0	182840	0	4879	0	71230
201806	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	0	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	0	72963	4341	11	7637	0	9136	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	0	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	399023	951	4831	0	18591	0	183075	0	4879	0	71230
201807	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	0	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	0	72963	4341	11	7637	0	9136	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	399023	951	4831	0	18591	0	183075	46416	4879	0	71230
201808	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	0	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	0	72963	4341	11	7637	0	9136	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	399023	951	4831	0	18591	0	191821	46416	4879	0	71230
201809	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	0	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	2889	72963	4341	11	7637	0	9136	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	399023	951	4831	0	18591	5	192723	46416	4879	0	71230
201810	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	0	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	2889	72963	4341	11	7637	0	9136	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	406575	951	4831	923	18591	5	198822	46416	4879	0	71230
201811	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	1291	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	2889	72963	4341	11	7637	0	0	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	406575	951	4831	932	0	5	205113	46416	4879	0	71230
201812	1209	984	160	3000	91356	1516	2450	0	16	423119	24437	57301	1291	3529	0	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	2889	72963	4341	11	7637	0	0	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	0	25705	119366	232	57145	8853	587	406575	951	4831	937	0	5	210976	46416	4879	0	71230
201901	1209	984	160	3000	91356	1516	2450	1420	16	423119	24437	57301	1291	3529	1148	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	2885	72963	4341	11	7637	0	0	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	2509	25705	119366	232	57145	8853	587	406575	951	4831	952	0	5	221489	46416	4879	421	71230
201902	1209	984	160	3000	91356	1516	2450	1420	16	423119	24437	57301	1291	3529	1148	3	3653	748	2955	145	4573	2028	368	26316	1191	36546	24955	24955	27095	152133	3570	151	84866	71701	9763	5247	0	2885	72963	4341	11	7637	0	0	8001	3000	1004	6298	1230	41151	3000	3000	495	1470	485	8629	78621	7	104	81695	7	7	736	122	78621	53	99	1970	127	554	21283	13913	419	324	15	84	137232	1146	331	2509	25705	119366	232	57145	8853	587	406575	951	4831	952	0	5	221489	46416	4879	421	71230
